1,Citrulline_Malate,6,0.11316,2500,47.15
2,Ornithine,2.5,0.0794,1000,31.76
3,BCAA,5,0.0922222,2250,41.5
4,Creatine,5,0.0429,1000,8.58
5,Theanine,0.35,0.0248867,181,12.87
6,Betaine,2.5,0.0524,1000,20.96
7,Yohimbe,0.075,0.005388,250,17.96
8,Caffeine,0.2,0.03196,50,7.99
9,Beta_Alanine,5,0.1048,1000,20.96
10,L-Aspartic_Acid,2.5,42.4,1000,16.96
